2/4/2016,10:04:00,Robbery Firearm,1500 RIVERSIDE DR,-74.98438873,40.09619947
2/10/2016,21:19:00,Robbery No Firearm,1100 WALNUT ST,-75.15900087,39.94865202
2/6/2016,3:36:00,Robbery No Firearm,2900 GAUL ST,-75.11099047,39.98393283
2/1/2016,20:10:00,Robbery No Firearm,1100 RITNER ST,-75.16632186,39.92263919
1/21/2016,20:55:00,Robbery No Firearm,2300 S 66TH ST,-75.23439797,39.92365702
1/26/2016,19:02:00,Robbery No Firearm,700 GAUL STREET,-75.12787204,39.97544534
2/2/2016,11:23:00,Robbery No Firearm,100 W PRICE ST,-75.17834614,40.03451227
2/7/2016,15:55:00,Robbery Firearm,4400 CITY AV,-75.22133541,40.00358522
2/18/2016,10:30:00,Robbery Firearm,6400 N NORWOOD ST,-75.15632057,40.05221041
2/2/2016,18:59:00,Robbery Firearm,6600 OGONTZ AVE,-75.1495693,40.05599221
2/12/2016,22:11:00,Robbery Firearm,4800 PARKSIDE AV,-75.21810304,39.99422352
1/30/2016,9:03:00,Robbery Firearm,2400 TRENTON AV,-75.12755339,39.98143315
1/26/2016,4:04:00,Robbery No Firearm,2400 W LEHIGH AVE,-75.17077732,39.9960889
2/5/2016,15:56:00,Robbery No Firearm,2600 ARAMINGO AVE,-75.11808728,39.97992633
1/23/2016,23:06:00,Robbery No Firearm,2100 S 64TH ST,-75.23434441,39.92747531
2/11/2016,15:39:00,Robbery No Firearm,1800 COTTMAN AV,-75.06946239,40.05309263
2/12/2016,23:25:00,Robbery No Firearm,2900 N SYDENHAM ST,-75.15614265,39.99819369
1/24/2016,22:29:00,Robbery Firearm,2900 COTTMAN AVE,-75.0518682,40.0430003
2/2/2016,14:47:00,Robbery No Firearm,1100 WALNUT ST,-75.15898257,39.94873481
2/10/2016,19:48:00,Robbery No Firearm,1500 W LEHIGH AVE 1,-75.1567628,39.99427402
1/27/2016,2:56:00,Robbery Firearm,S 62ND ST / WOODLAND AV,-75.23065718,39.92816716
2/6/2016,3:36:00,Robbery Firearm,2800 TASKER STREET,-75.19128955,39.93339472
2/9/2016,0:59:00,Robbery No Firearm,2500 S MILLICK ST,-75.22396995,39.92607046
2/15/2016,11:55:00,Robbery No Firearm,5500 LANSDOWNE AV,-75.23324157,39.97674516
1/29/2016,11:37:00,Robbery Firearm,S 22ND ST / PIERCE ST,-75.18184911,39.930161
1/29/2016,16:38:00,Robbery Firearm,5300 YOCUM ST,-75.21825235,39.93781041
2/4/2016,19:31:00,Robbery No Firearm,4400 OSAGE AVE,-75.21099293,39.95082446
2/5/2016,21:15:00,Robbery No Firearm,1700 POPLAR ST,-75.1653131,39.97091951
1/31/2016,16:33:00,Robbery No Firearm,6300 ELMWOOD AVE,-75.22770151,39.92400529
2/1/2016,10:18:00,Robbery No Firearm,1400 W GLENWOOD AV,-75.15400823,39.9967275
